,火山,科大讯飞,百度
20241215191503.wav,小哥小哥，你的音乐不能用了吗？,小格小格，你的音乐不能用了吗？,小哥，小哥，你的音乐不能用了吗？
20241218231732.wav,小哥小哥，明天八点半提醒我起床，十点钟提醒我去开车可以吗？,小哥小哥，明天8:30提醒我起床，10:00提醒我去开车，可以吗？,小哥，小哥，明天八点半提醒我起床，十点钟提醒我去开车，可以吗？
20241210181125.wav,给我发几张格莱美中式婚宴图片！,给我发几张格莱美中式婚宴图片。,给我发几张格莱美中式婚宴图片。
20241203182925.wav,小哥小哥，我跟谭伟琪小姐谁啊？我们啊，我有。,小哥小哥，我跟谭伟琪小姐。,小哥，小哥，我跟谭炜琪小姐，我们。
20241219222856.wav,提醒陈哲玉在两分钟后给我回微信消息。,提醒程泽钰在两分钟后给我回微信消息。,提醒谌泽雨在两分钟后给我回微信消息。
20241228190837.wav,小格小格，给我介绍一下格莱美三店碧海潮生厅。,小哥小哥，给我介绍一下格莱美，三店碧海潮生津。,小哥，小哥给我介绍一下格莱美三店碧海潮生厅。
20241215192426.wav,小哥，小哥，你帮我生成的图片太老了哦，我还没这么老，我能不能拍张照片，用我的照片生成啊？我在屋顶上。徽派建筑的屋顶上的照片。吃西瓜的照片。,小格小格你把我生成的图片太老了，我还没这么老，我能不能拍张照片用我的照片生成我在屋顶上徽派建筑的屋顶上的照片，吃西瓜的照片。,小哥，小哥，你帮我生成的图片太老了，我还没这么老，我能不能拍张照片？用我的照片生成啊？我在屋顶上徽派建筑的屋顶上的照片，吃西瓜的照片。
20241218190540.wav,春节抢票需要提前多少天？,春节抢票需要提前多少天？,春节抢票需要提前多少天？
20241227103004.wav,把各种龙虾蟹和鱼的价格发给我！,把各种龙虾蟹和鱼的价格发给我。,把各种龙虾蟹和鱼的价格发给我。
20241226180018.wav,你好小格，请给我介绍一下秀山路格莱美的装修。,你好小格请给我介绍一下秀山路格莱美的装修。,你好，小哥，请给我介绍一下秀山路格莱美的装修。
20241231214024.wav,表格小格你帮我做一个慈溪中东城之歌，我们做中国首个中东城！,小哥小哥，你帮我做一个慈溪忠诚之歌，我们做中国首个中东城。,小哥，小哥，你帮我做一个慈溪中通诚之歌，我们坐中国首个中通诚。
20241220131549.wav,提醒我五分钟后去买一瓶水。,提醒我5分钟后去买一瓶水。,提醒我五分钟后去买一瓶水。
20241219222249.wav,五分钟后提醒王珍去睡觉。,5分钟后提醒王峥去睡觉。,五分钟后提醒王峥去睡觉。
20241218193505.wav,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？
20241225214623.wav,一个师弟小格小格，我要看科技路上格莱美所有听的照片。,小哥小哥，我要看科技路上格莱美所有厅的照片。,小哥，小哥，我要看科技路上格莱美所有厅的照片。
20241228184738.wav,明州路格莱美亚特兰蒂斯汀啊，帮我介绍一下。,明珠路格莱美亚特兰蒂斯汀，嗯，帮我介绍一下。,明州路格莱美亚特兰蒂斯厅，嗯，帮我介绍一下。
20241230143617.wav,提醒我两分钟后再喝一杯水！,提醒我两分钟后再喝一杯水。,提醒我两分钟后再喝一杯水。
20250101192529.wav,小格小格啊，发一下对新人的祝福语！,讲个小哥，发一下对新人的祝福语。,小哥，小哥嗯，发一下对新人的祝福语。
20241230233406.wav,小格小格，我们这两天格莱美做了什么大事情呀，你来跟我说说。,小哥小哥，我们这两天格莱美做了什么大事情呀？你来跟我说说。,小哥，小哥，我们这两天跟他们做了什么大事情呀，你来跟我说说。
20241231213616.wav,小哥小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？,小哥小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？,叫个小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？
20241225213010.wav,考莱蒙以珊瑚店最近有什么优惠？,格莱美以珊瑚店最近有什么优惠？,格莱美以珊瑚店最近有什么优惠？
20241228005150.wav,你能跟我说说更多的行业吗？,你能跟我说说更多的行业吗？,能跟我说说更多的行业吗？
20241231202928.wav,小格小格，帮我做一个格莱美江云府跨年图吧！,小哥小哥帮我做一个格莱美，将云浮跨年图吧。,小格小哥，帮我做一个格莱美江云府跨年抽吧！
20241224185849.wav,小格把这盘菜做成漫画！,小哥把这盘菜做成漫画。,小格把这盘菜做成漫画。
20241213212715.wav,小格小格，怎么去邀约客户呢？帮我出一套好的营销方案。,小哥小哥，怎么去邀约客户呢？帮我出一套好的营销方案。,小格小格怎么去邀约客户呢？帮我出一套好的营销方案。
20241225151058.wav,小格小格，格莱美的王帅峰是干什么的？,小格小格格莱，美的王帅锋是干什么的？,小哥，小哥，格莱美的王帅锋是干什么的？
20241225151138.wav,我推景格下午好好好！,小哥下午好！,我只想和下午好。
20241219231746.wav,提醒王珍现在跟我说一个晚安故事。,提醒王峥，现在跟我说一个晚安故事。,提醒完整，现在跟我说一个晚安故事。
20241228184909.wav,我想了解一下格莱美二店秀场厅的资料？,我想了解一下格莱美二店就餐厅的资料。,我想了解一下格莱美二店秀场天的治疗。
20241217204906.wav,小格小格，给我发送歌剧魅影魅影厅的图片。,小格小格给我发送歌剧魅影魅影听的图片。,小格小格给我发送歌剧魅影影厅的图片。
20241222174109.wav,小格剧院厅的设计理念。,小格剧院厅的设计理念。,小格剧院厅的设计理念。
20241228185828.wav,小哥小哥，介绍一下格莱美商店，迪拜听。,小哥小哥介绍一下格莱美商店，the fighting.,小哥，小哥介绍一下格莱美商店的拜亭。
20241220214954.wav,给我写一首周末假期的歌曲？,给我写一首周末假期的歌曲。,给我写一首周末假期的歌曲。
20241216223511.wav,慈溪市百强县里面排名第几名？,慈溪市百强县里面排名第几名？,慈溪市百强县里面排名第几名？
